#OTU ID,AC-GL4-102C,AC-GL4-50C,AC-GL4-54C,AC-GL4-60C,AC-GL4-61C,AC-GL4-69C,AC-GL4-70C,AC-GL4-71C,AC-GL4-73C,blank
D_0__Archaea;D_1__Altiarchaeota;D_2__Altiarchaeia;D_3__uncultured archaeon;D_4__uncultured archaeon;D_5__uncultured archaeon;D_6__uncultured archaeon,0,3,0,0,3,0,0,0,4,
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia;D_3__uncultured methanogenic archaeon;D_4__uncultured methanogenic archaeon;D_5__uncultured methanogenic archaeon;D_6__uncultured methanogenic archaeon,0,0,0,0,0,0,0,0,0,
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia;__;__;__;__,0,0,0,0,0,0,0,0,0,
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermococci;D_3__Methanofastidiosales;D_4__uncultured;D_5__uncultured bacterium;D_6__uncultured bacterium,0,0,0,0,0,0,0,0,3,
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__Candidatus Diapherotrites archaeon ADurb.Bin253;D_4__Candidatus Diapherotrites archaeon ADurb.Bin253;D_5__Candidatus Diapherotrites archaeon ADurb.Bin253;D_6__Candidatus Diapherotrites archaeon ADurb.Bin253,0,0,0,0,10,0,0,0,0,
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__Candidatus Pacearchaeota archaeon RBG_19FT_COMBO_34_9;D_4__Candidatus Pacearchaeota archaeon RBG_19FT_COMBO_34_9;D_5__Candidatus Pacearchaeota archaeon RBG_19FT_COMBO_34_9;D_6__Candidatus Pacearchaeota archaeon RBG_19FT_COMBO_34_9,0,19,0,0,28,0,6,0,0,
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__uncultured archaeon;D_4__uncultured archaeon;D_5__uncultured archaeon;D_6__uncultured archaeon,0,18,0,0,36,0,5,0,12,
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium,0,220,13,31,270,7,8,0,28,
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;__;__;__;__,0,52,0,3,159,0,11,0,25,
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 13;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium,0,0,0,0,0,0,0,0,0,
D_0__Bacteria;D_1__Acidobacteria;D_2__Aminicenantia;D_3__Aminicenantales;D_4__uncultured soil bacterium;D_5__uncultured soil bacterium;D_6__uncultured soil bacterium,0,6,5,0,20,0,15,0,11,
